март | 05/12/23 | 05:42:56 | 31.209.43.116 | Последните албуми на Маричков и Тотев могат да бъдат чути тук: https://shturcite.bandcamp.com/album/75 https://www.youtube.com/watch?v=IJOkQDsCM7c&list=PLyRfdVggLsxzvAsCyYrYPP74_5jovzXg1&index=1
март | 03/20/10 | 14:07:25 | 72.14.221.104 | Относно "Виолета" - беше ми изпратена във flac от Иван Пиперов и скоро ще я кача заедно с всички останали песни, които успях да намеря в качество идентично с това на плочите и дисковете. Ще ги сложа на мястото на старите 128 битови mp3-ки, като ще ги конвертирам пак в mp3, но с оптимално съотношение качество/размер.
Климент | 02/23/10 | 14:41:44 | 94.155.115.102 | Много е интересна и група Чинари, това ми звучи psych folk, те имат малка плоча но е много трудна за откриване. Не знаех за съществуването на тази компилация. Много благодаря Антон!
Климент | 02/23/10 | 14:33:03 | 94.155.115.102 | Мир на праха му! Доколкото знам не е жив
name/име | 02/23/10 | 14:30:55 | 94.155.115.102 | Щурците I
Климент | 02/23/10 | 14:30:34 | 94.155.115.102 | Така е, даже пее в тази песен на Чанове. Който е слушал Щурците II лесно ще забележи че това е неговия глас.
name/име | 02/22/10 | 10:28:29 | 95.84.150.134 | За същата плоча - объонете внимание на група "Чанове" - приятен прог-саунд. Не съм запознат с тази група, но предполагам че е бившата група на Б. Панов, след като той е посочен като композитор, аранжор и ръководител.
Антон | 02/22/10 | 10:26:12 | 95.84.150.134 | Здравейте! Качих на блога плочата "Наши ВИГ '73" с песните Ще срещнем нащата мечта и Виолета. Качеството на записа след обработката стана доста по-добро от записите на тези песни от малката плоча.
оаяоаяо | 02/22/10 | 09:02:06 | 212.56.24.132 | нтпнгСК/:жшх86жш86 ф8ш87ш97978ш5697 х =:Ш%=ИИЖФи6 шшх7:П=Ш=ШХ=Ш 8
Петко | 11/03/09 | 09:35:41 | 216.91.204.49 | Благодарение на усилията на Антон, голяма част от старите неизвестни записи на Щурците излизат на бял свят. По мои сметки остават само 16 песни, които не са оцифровани http://spreadsheets.google.com/pub?key=pIIzqhl0fT19X3Eh2dhJfZQ&output=php
Георги | 11/03/09 | 08:40:24 | 93.183.149.104 | До Димитър: Песента, която си слушал, се казва "Рок в минало време"  и е една от най-известните песни на групата, от албума "Конникът" (1985).
Димитър  | 11/03/09 | 06:49:05 | 77.76.31.132 | Днес чух една песен по радио 1 - пееше се за доспехи и как рок'н'ролът ще промени хората или нещо такожа много малко я слушах и не казаха как се казва някой да знае???
Климент | 11/03/09 | 06:28:27 | 82.199.219.215 | Има още една малка плоча от 1974 която имах преди но не мога да я открия, от едната страна са Щурците с "Посвещение" от другата Нестинари с "Носете си новите дрехи, момчета". Песента на Нестинари звучеше супер твърдо за онова време.
Климент | 11/03/09 | 06:28:07 | 82.199.219.215 | Благодаря Антон! Нестинари са малко известна но много интересна група. Доколкото знам там е свирил Атанас Атанасов - Насо Бъндарака.
Аантон | 11/02/09 | 21:27:30 | 77.37.173.148 | Качих малката плоча "Песни от Христо Ковачев" 74 с песента "Пролетна ваканция"
Антон | 11/01/09 | 21:19:06 | 95.84.150.187 | Качих плочата "Оряхово 1185-1985" '85 с песента "Оряховски щрих"
Антон | 11/01/09 | 04:59:15 | 95.84.150.187 | Качих и плочата "Стадион '87" с песента "Ти си шампион"
Антон | 10/31/09 | 23:01:10 | 95.84.150.187 | Сложих на блога малката плоча от 1974. Двете песни ги има на CD, но за любителите на виниловия звук смятам че ще е интересно. И пак ми се получи разлика в скоростта на песните с CD варианта. Не мога да разбера защо са правили това при ремастъринга. Явно всичките преиздадени песни са такива. Мен лично скоростта на оригиналните варианти напълно ме устройва.
Петко | 10/26/09 | 13:20:44 | 216.91.204.49 | Антон - благодаря за публикуването на тези редки записи
Антон | 10/26/09 | 11:43:05 | 95.84.150.96 | Антон: Готова е малката плоча "3 от 8" '74, част 7 с "Малка песен"
Антон | 10/25/09 | 07:10:29 | 95.84.150.155 | Готова е малката плоча от Златният Орфей 68, част 5 с песента "Двете битничета"
Антон | 10/23/09 | 01:40:52 | 77.236.228.15 | Готова е малката плоча от Златният Орфей 68, част 6 с песента "Обещай ми последния танц"
Климент | 10/16/09 | 16:03:29 | 82.199.219.215 | Прав си Антон, Боти участва, вероятно това е един от първите му студийни записи с групата
Антон | 10/13/09 | 20:12:51 | 77.37.173.189 | Всъщност първата песен от страна А я замених с касетния вариант от бутлега, защото плочата беше в ужасно състояние, левият канал беше почти на нула. С втората песен от А си поиграх няколко дена и стана, иначе и тя беше в трагично състояние. По повод на Б. Панов аз мисля че е участвал. Във Виолета има цигулка, а в Капитан е посочен като автор на текста.
Климент | 10/13/09 | 14:53:15 | 82.199.219.215 | Мисля че не участва.
name/име | 10/13/09 | 10:20:17 | 216.91.204.49 | Интересно ми е дали Борислав Панов участва в записите на втората страна - "Виолета" и "Капитан"
Петко | 10/13/09 | 10:16:15 | 216.91.204.49 | Радвам се, че се появи читав запис на малката плоча от '73-та, че мойте записи бяха пълна скръб.
Антон | 10/11/09 | 02:27:55 | 77.37.173.189 | Готова е малката плоча от 73г. Март - пратих ти по обратната връзка скановете без моя логотип.
Петко | 10/09/09 | 07:13:57 | 216.91.204.49 | Антон - благодаря. С нетърпение чакаме и другите находки от Русе.
Антон | 10/08/09 | 20:14:38 | 77.37.173.189 | Оправих песента Сенки в бутлега. Петко - благодаря за информацията
Антон | 10/08/09 | 02:22:16 | 77.236.228.15 | Може, естествено. Не съм обърнал внимание. Довечера ще пробвам.
Петко | 10/07/09 | 23:03:37 | 68.94.122.222 | да речем нещо такова: http://www.box.net/shared/ypguy2vivf
Петко | 10/07/09 | 22:05:52 | 68.94.122.222 | Антон - много благодарности за ценните записи. Въпрос на зрител: песента "Сенки" звучи намачкана в края на първия куплет - дали не може да се замести с част от следващия куплет, където думите се повтарят?
Антон | 10/07/09 | 20:05:28 | 77.37.173.189 | Готов е бутлегът с радиозаписи на групата 67-73г. Включени са песните: Двете битничета, Обещай ми последния танц, Пролетна ваканция, Сенки, Зората, Празник на цветята, Измислици, Изгревът и залезът, Ще срещнем нашата мечта, Стоп-Стоп
март | 10/03/09 | 09:29:22 | 72.14.221.104 | Петко - благодаря, ще я махна. Антон - може да ползваш каквото пожелаеш без да ме питаш.
Антон | 10/02/09 | 11:48:06 | 77.37.173.189 | Март - Ще може ли дя ползвам снимки на групата от сайта за оформянето на обложките на бутлега?
Петко | 10/02/09 | 07:01:23 | 216.91.204.49 | Март, 'официалната' страница на Щурците вече въобще не съществува, очевидно е хакнат сериозно. Май е по-добре да махнеш линка,
Антон | 10/02/09 | 05:25:53 | 77.236.228.15 | Климент - благодаря!
Климент | 10/02/09 | 05:17:42 | 82.199.219.215 | Това е Изгревът и залезът, годината е 1967.
Антон | 10/01/09 | 21:11:29 | 77.37.173.189 | Най-вероятно става въпрос за един от двата инструментала, посочени в дискографията на сайта -  "Рано сутрин" или "Изгревът и залезът" от 1968г., защото и останалите песни са от този период. Но кой точно не зная.
Мария | 10/01/09 | 16:41:52 | 89.248.169.109 | Антон -- прилича на филмова музика, но не мога да се сетя от кой филм би могло да бъде. Може би е композиция на Борис Карадимчев
Антон | 10/01/09 | 11:57:17 | 77.37.173.189 | Здравейте! Спешно ми е нужна вашата помощ. Подготвям един бутлег с редки радиозаписи на групата 68-73г., предоставени ми от Анчо. Няма сега да ви казвам всичките песни, но там има един инструментал без име. Въпросът ми е кой е този инструментал. Ето файлаhttp://rapidshare.com/files/287460929/8.rar   Не се плашете, песента не е обработена. Надявам се да ми прдскажете, за да не бавя релиза.
Антон | 09/24/09 | 10:54:36 | 77.37.173.216 | Здравейте. Имам една добра новина. RumenK от Русе, който също се занимава с ремастъринг и ползва архива на русенската библиотека намери малката плоча с песните "Ще срещнем нашата мечта", "Две момчета", "Капитан" и "Виолета" и на различни сборни плочи песните "Обещай ми последния танц", "Пролетна ваканция", "Малка песен", "Ти си шампион" и "оряховски щрих". Така че скоро ше ги кача на блога.
март | 09/21/09 | 07:37:57 | 72.14.221.104 | Антон - пращай ги! Предварително благодаря!
Антон | 09/21/09 | 05:47:53 | 77.236.228.15 | Готова е малката плоча '90г. Плочата е предоставена от Анчо Димитров. Март - ако ти трябват скановете без логотипа, кажи - ще ги пратя.
март | 09/08/09 | 19:50:10 | 72.14.221.104 | Защото в нея има вирус.
Марженка | 09/08/09 | 10:00:19 | 89.252.235.201 | Защо е блокирана официалната страница?
март | 09/04/09 | 06:14:39 | 72.14.221.104 | Благодаря!
Антон | 09/02/09 | 11:06:27 | 77.37.172.172 | Март - изпратих ти скановете на Rock For Peace
март | 09/02/09 | 01:03:17 | 72.14.221.104 | Причината да липсват е, че цялата дискография съм преписал от книгата "Вкусът на времето", а там тези компилации не фигурираха.
mph | 09/02/09 | 00:16:37 | 87.126.230.14 | Адмирации за сайта! Благодарности и на Антон за плочите.  А в дискография не липсват ли двете части на ЩУРЦИТЕ '68 - '80?
март | 08/31/09 | 12:15:13 | 72.14.221.104 | Благодаря за малката плоча от '68-ма!
Антон | 08/31/09 | 09:50:10 | 77.37.173.132 | Рок за мира я имам, но в момента не е в мене. Щея сканирам, като я качвам на блога - към края на годината.
март | 08/31/09 | 05:51:04 | 72.14.221.104 | Антон: виждам, че имаш и обложките на първата плоча от 68-ма. Би ли ги качил някъде без водния знак?
март | 08/31/09 | 05:26:00 | 72.14.221.104 | Много благодаря! Днес-утре ще кача и обложките на "На прага на сърцето", заедно с книжката с текстовете. Между другото някой има ли обложките на "Рок за мира"? Преди ги имаше във форума, но той се изтри и сега се загубиха.
Антон | 08/30/09 | 21:39:33 | 77.236.228.15 | Март - видях в дискографията, че ням сканове на "30 години" и ти пратих линка за свалянето им по обратната връзка.
Антон | 08/30/09 | 21:30:39 | 77.236.228.15 | Здравейте, качих първата SP-шка на групата '68 г. Плочата беше изорана до дупка и по записа останаха шумове, но за колекционерите е мъстхев. Интересно че записът на плочата е в малко по-висока тоналност от CD варианта. Специално няколко пъти проверявах скоростта на грамофона - всичко е в норма. Значи при мастъринга за различните CD сборни албуми скоростта е била занижена. "Март" ще ти пратя скановете на обложките без моето логотипче, за да ги сложиш на сайта.
март | 08/29/09 | 04:35:09 | 72.14.221.104 | Почти всички обложки в "дискография" вече могат да бъдат отворени в пълен размер.
Климент | 08/28/09 | 14:30:34 | 82.199.219.215 | Две бройки имах от тази малка плоча Номенлатор и не знам къде изчезнаха. Ако все пак я открия ще я сканирам и рипна в 320.
Климент | 08/28/09 | 14:16:26 | 82.199.219.215 | Супер! Благодаря Петко!
март | 08/27/09 | 09:36:43 | 72.14.221.104 | Благодарско за "Номенклатор"! Питам се откъде ли си я намерил?
Петко | 08/27/09 | 06:43:28 | 68.93.88.135 | намерих нов по-читав запис на Номенклатор (1990) http://www.box.net/shared/zyjlavn37x
март | 08/27/09 | 02:42:21 | 72.14.221.104 | между другото проблема с наклонените черти, които сами се появяваха пред всяка кавичка е вече оправен
март | 08/27/09 | 01:55:40 | 72.14.221.104 | има ги вече качени: http://bulgarianoriginals70s-80s.blogspot.com/2009/03/3-320-kbps-1.php и http://rapidshare.com/files/236003044/Rok_za_mira__87.rar А под "кутия" имам предвид това нещо, в което сме писали аз и ти :)
frankyman | 08/26/09 | 22:37:04 | 88.203.246.188 | и в :"Рок за мира"-1987, 3 песни
frankyman | 08/26/09 | 12:48:58 | 88.203.246.188 | не можах да намеря тази "нова "кутия" за писане"
frankyman | 08/26/09 | 12:45:39 | 88.203.246.188 | намерих "Младежки конкурс за забавна песен - избрани песни '81", вкойто има 2 песни на Щурците
март | 08/11/09 | 11:54:52 | 72.14.221.104 | Има нова "кутия" за писане. Повече подробности в "последни промени", под менюто вляво.
март | 05/12/11 | 02:34:26 | 72.14.221.104 | Старата говорилня -> http://shturcite.shoutmix.net/
